date,top10_ret,top20_ret,top30_ret,bottom10_ret,bottom20_ret,qqq_ret,top10_equity,top20_equity,top30_equity,bottom10_equity,bottom20_equity,qqq_equity
2020-12-29,0.07338123112469247,0.05672129178567026,0.06498884009768958,0.24428955695866597,0.19893084439838252,0.00984150448059573,1.0733812311246924,1.0567212917856703,1.0649888400976897,1.244289556958666,1.1989308443983826,1.0098415044805957
2021-01-13,0.43055425541577924,0.25298620727296334,0.17815917089851147,-0.014199122066881908,-0.029219744003799807,0.016706347857662784,1.535530087868857,1.3240572035391136,1.2547263688656616,1.2266217376528636,1.1638983920468025,1.026712267935554
2021-01-28,0.026966166524989187,0.13016071004196617,0.16041757757412267,0.17012751747729243,0.11344493304793304,0.04126739487858888,1.5769374479224598,1.4963974292879447,1.456006533477466,1.435303848763428,1.295936767207149,1.069082008523142
2021-02-11,-0.09859741951108028,-0.09474709695429752,-0.07084110353622962,-0.06848444917677979,-0.06422568502322172,-0.0610914546984459,1.4214554848269167,1.3546181169730382,1.352861423889962,1.3370078552795526,1.2127043405864903,1.003770233430527
2021-02-26,0.16979963546069884,0.1635505088798665,0.1326998919363878,0.04054914354223593,0.04393258954672573,0.004201873906990894,1.662818107974138,1.5761665993418652,1.5323859886450675,1.39122237872038,1.2659815826230094,1.0079879493829929
2021-03-12,0.036697377058151834,0.01842610707675101,0.012035306120795668,-0.06899516514937497,-0.04150841978836313,0.0029771315517204133,1.7238391710615875,1.605209213872137,1.5508287231136288,1.295234760941061,1.213432687647157,1.010988862110855
2021-03-26,0.029231271023145176,0.013706546512463452,-0.011021865955981392,0.04790805453579715,0.033266134621702734,0.06541137278783737,1.7742291810712028,1.6272110886243105,1.5337356968067846,1.3572869385048854,1.253798902788802,1.0771190314547396
2021-04-12,0.09755597336007409,0.0502862305431714,0.06337520337142054,0.012065664279398536,0.006793798503715198,0.014732559043064697,1.947315835794451,1.7090374005692777,1.630936508509922,1.373663507035698,1.2623169598985282,1.0929877511820552
2021-04-26,-0.1164539280625041,-0.12366225357974889,-0.12759037393720776,0.033777284828579376,0.025018724214597686,-0.04645391555623135,1.720543257537869,1.4976939841628047,1.422844709521297,1.420062130571468,1.2938985197896387,1.0422141904846487
2021-05-10,0.13661292502222505,0.038108016092453935,0.04157774466036523,-0.006065663515984166,-0.0003986792832773589,0.020721051056475703,1.9555917045773845,1.5547681306128522,1.482003383545125,1.4114485115156299,1.2933826692551353,1.0638099639374645
2021-05-24,0.1046436126079056,0.06612000993950896,0.09832939686533274,0.04577401302265538,0.025893811197197202,0.01278121609233085,2.160231885330414,1.6575694148626057,1.6277278824014993,1.476056174062554,1.3268732758985546,1.077406748967724
2021-06-08,-0.00011531956436954261,0.04902466671959163,0.04316613701348749,-0.017915724844275303,-0.033896328660017724,0.033297332843391425,2.1599827683304604,1.7388312029908335,1.6979906071939164,1.4496115577933555,1.281897143248503,1.1132815200958186
2021-06-22,-0.06273883465631205,0.20603928892401036,0.12744663494797515,-0.032908854871876315,-0.02274413184043536,0.03849598014827493,2.0244679665676926,2.097098747613946,1.9143937962540498,1.4019065014173393,1.2527415056165816,1.1561383833928687
2021-07-07,-0.05098598438815185,-0.05635831238972884,-0.053433188617761855,-0.020141513660829703,0.005088506145574162,0.0016898576511066299,1.9212484744299587,1.9789098012838102,1.8121016314501341,1.373669982467836,1.2591160884667274,1.1580920926857832
2021-07-21,-0.12561597434476235,-0.11699945253636504,-0.14927724435543938,0.018033860559633342,-0.001458639043982296,0.01598635697768591,1.6799089753560512,1.7473784379147574,1.5415960934152622,1.3984425553866149,1.2572794925791837,1.1766057662924934
2021-08-04,-0.049969902975616834,-0.05311794681604778,-0.07504197018620824,-0.00649793156593802,-0.01160177154146142,-0.013965178912062948,1.5959640868496414,1.6545612829820928,1.4259116853340188,1.3893555713628172,1.2426928231425154,1.1601742562572537
2021-08-18,0.15527184211302406,0.15331723531481045,0.10739546908333046,0.01928151611690714,0.030830206236482204,0.050716249075640985,1.8437723705610156,1.908234044547833,1.579048139651868,1.416144453204164,1.2810052991685954,1.219013942808743
2021-09-01,-0.03913048280852628,-0.04525834850652006,-0.03815777631878733,-0.0513585418088728,-0.029294540091468257,,1.771624667511942,1.8218705231276808,1.5187951739424348,1.3434133390968748,1.2434788380747177,1.219013942808743
