factor,mean_IC,std_IC,ICIR,n_dates,pct_positive_IC
rsi_21,0.0110848602392791,0.07418529562510269,0.14942125856445634,1224,55.9640522875817
bollinger_squeeze,-0.006454850178889831,0.05915130025039762,-0.10912440050455934,75,44.0
ivol_20,-0.01470621839763589,0.16259201605233814,-0.09044858877266138,1223,47.66966475878986
liquid_momentum,-0.010501880068312807,0.11885270770168613,-0.08836046120776615,1173,47.911338448422846
momentum_10d,-0.010604703532936148,0.1204684919985599,-0.08802885598553785,1223,48.65085854456255
5_days_reversal,0.010475529451821711,0.12457800824054295,0.08408811153566453,1224,52.450980392156865
momentum_60d,-0.010251555682965933,0.1229793125104146,-0.08336000156203321,1173,49.445865302642794
trend_r2_60,0.00549333686905488,0.06635874937421316,0.0827824050461924,1175,54.04255319148936
vol_ratio_20d,0.004057269266688279,0.05073348598095464,0.07997221535715836,1224,53.18627450980392
blowoff_ratio,-0.005922690483601408,0.08389190866772483,-0.07059906703350527,1223,46.443172526574
obv_momentum_60d,0.002203557996953085,0.03301930215490749,0.06673545027133716,1172,51.70648464163823
obv_divergence,0.0018111642655235607,0.034485687161652546,0.05251930335717776,1193,50.46102263202011
hist_vol_40d,-0.009443182674947382,0.20167773484703952,-0.04682312939556501,1218,49.096880131362894
near_52w_high,0.0068480256604423265,0.17644133356664923,0.038811912843854934,1214,55.51894563426688
ret_skew_20d,-0.0006215421151507549,0.0626346485816313,-0.009923295320172562,1214,48.92915980230643
atr_ratio,0.0006483085050213821,0.0658438812216966,0.009846146566581107,1224,51.71568627450981
